Crater,Zone,Ol_wt%,FeO_wt%,TiO2_wt%,CPX_wt%,OPX_wt%,Plagioclase_wt%,Th_ppm,2µm center,Norm Soil T_K,Bol.T. Anomaly_K,Night. Soil_T_K,Regolith T_K,Regolith T. Anom_K,Rock Abundance,Rough. at 100 m,SLDEM2015 (+LOLA) Slope_deg
Lambert,Floor,13.49,16.5,1.89,26.26,20.48,39.77,5.01,2188,1.84,3.56,5.38,99.69,2.29,0.01,1.07,13.83
Lambert,In Wall,13.5,16.62,2.1,26.14,20.76,39.6,5.01,2188,1.65,3.35,5.19,99.48,2.12,0.01,1.09,13.44
Lambert,Rampant,11.75,16.67,2.7,24.55,22.12,41.58,5.02,2186,0.1,0.81,3.68,98.02,0.53,0.001,0.85,4.12
Lambert,Background,11.91,17,3.51,27.35,20.65,40.09,4.97,2216,0.28,1.18,3.84,98.15,0.63,0.001,0.8,1.53
Timocharis,Floor,3.75,12.47,1.05,23.45,16.78,56.03,11.89,2127,1.42,2.46,4.95,99.08,1.41,0.01,1.04,10.08
Timocharis,In Wall,5.22,12.02,1.96,21.54,14.9,58.33,11.42,2146,0.41,1.62,3.96,98.23,1.00,0.001,1.06,14.16
Timocharis,Rampant,9.64,14.82,2.88,24.22,17.34,48.8,8.74,2176,-0.24,0.39,3.18,97.54,0.19,0.001,0.85,3.08
Timocharis,Background,10.85,15.79,2.98,25.13,19.02,45,7.06,2178,0.08,0.83,3.5,97.78,0.40,0.001,0.86,1.45
Euler,Floor,6.96,11.69,0.8,18.33,15.16,59.55,5.35,2088,2.81,5.22,6.82,101.27,3.46,0.01,1.16,13.02
Euler,In Wall,8.34,11.89,0.98,18.27,15.08,58.31,5.36,2102,2.86,5.74,6.91,101.27,3.53,0.01,1.22,14.69
Euler,Rampant,10.78,15.24,3,25.08,16.65,47.5,5.37,2191,0.13,1.09,4.08,98.45,0.61,0.001,1.01,2.68
Euler,Background,12.83,16.2,3.81,28.46,15.16,43.56,5.41,2225,0.53,1.79,4.45,98.83,0.97,0.01,0.99,1.09
Reiner,Floor,10.46,17.68,2.28,35.44,22.62,31.48,3.72,2193,7.95,12.23,13.11,107.54,7.98,0.02,1.14,13.67
Reiner,In Wall,10.93,17.51,2.46,33.53,23.06,32.48,3.72,2196,8.4,13.37,13.58,107.96,8.63,0.02,1.17,15.87
Reiner,Rampant,11.04,18.35,4.3,29.41,26.03,33.51,3.7,2219,0.71,2.13,5.85,100.22,0.97,0.01,0.89,2.68
Reiner,Background,11.24,18.4,4.59,28.89,26.17,33.7,3.7,2211,0.35,1.78,5.45,99.84,0.62,0.01,0.89,1.27
Marius A,Floor,11.54,15.79,0.8,30.11,20.74,37.61,4.1,2164,15.98,121.53,20.52,115.65,15.21,0.03,1.41,7.27
Marius A,In Wall,12.93,15.38,1.28,27.59,19.59,39.89,4.07,2166,16.76,126.73,21.65,117.71,18.47,0.05,1.3,19.18
Marius A,Rampant,9.69,17.34,4.04,30.23,23.07,37.02,4.09,2181,1.62,103.54,6.46,101.07,2.10,0.01,1.03,1.73
Marius A,Background,11.54,18.15,5.73,30.52,22.73,35.21,4.3,2225,0.37,101.78,5.18,99.6,0.63,0.01,0.99,0.18
Pytheas,Floor,6.95,10.07,1.39,14.33,12,66.71,5.54,2142,4.06,6.65,8.66,102.78,4.27,0.01,1.19,16.89
Pytheas,In Wall,7.92,9.94,1.55,13.81,11.85,66.43,5.53,2128,4.04,7.32,8.59,102.59,4.28,0.01,1.22,19
Pytheas,Rampant,10.58,13.46,2.25,17.04,17.13,55.24,5.55,2167,0.18,1.26,4.4,98.76,0.57,0.01,1,6.77
Pytheas,Background,12.19,15.66,2.38,19.68,21.49,46.64,5.65,2163,-0.34,0.35,3.9,98.25,0.03,0,0.87,1.55
Delisle,Floor,9.94,14.82,0.56,27.31,20.17,42.58,5.5,2169,2.1,4.67,4.98,99.7,3.08,0.01,1.1,13.66
Delisle,In Wall,10.41,15.17,0.61,27.58,21.16,40.84,5.49,2162,2.63,5.27,5.5,99.96,3.33,0.01,1.21,15.41
Delisle,Rampant,13.69,16.53,1.94,26.43,20.64,39.25,5.52,2189,0.09,0.85,2.96,97.28,0.52,0.001,0.9,2.82
Delisle,Background,14.36,16.49,2.01,27.3,18.96,39.37,5.42,2193,0.38,1.32,3.31,97.62,0.80,0.001,0.95,1.56
Bessarion A,Floor,13.04,14.23,0.01,24.94,17.34,44.68,5.5,2164,9.69,110.98,14.12,109.35,9.21,0.01,0.98,14.86
Bessarion A,In Wall,16.21,14.29,0.04,20.6,18.04,45.15,5.5,2163,12,123.23,17.22,112.43,13.80,0.06,1.13,22.74
Bessarion A,Rampant,12.2,14.77,0.09,23.86,17.78,46.16,5.46,2176,1.35,102.9,5.99,100.33,1.75,0.01,0.95,4.02
Bessarion A,Background,12.6,15.16,0.43,25.11,17.46,44.82,5.42,2195,0.59,101.57,5.2,99.49,0.89,0.01,0.98,1.57
Bancroft,Floor,2.46,10.34,2.98,15.82,19.08,62.64,9.84,2075,6.58,106.8,9.53,104.63,5.84,0.01,1.11,7.76
Bancroft,In Wall,4.77,9.77,2.86,13.97,18.21,63.05,10.34,2061,5.45,107.36,8.54,103.09,6.10,0.01,1.08,24.16
Bancroft,Rampant,4.36,11.98,2.71,18.2,18.5,58.94,10.42,2109,-0.19,98.7,2.89,97.35,0.38,0,0.93,7.26
Bancroft,Background,6.14,12.34,1.21,18.29,16.98,58.59,10.07,2112,-0.57,98.18,2.66,97.05,0.00,0,0.92,4.24
Le Verrier,Floor,15.2,16.99,0.84,21.92,26.89,35.99,3.56,2175,3.14,4.72,3.82,97.97,3.22,0.01,1.03,6.77
Le Verrier,In Wall,14.79,16.46,0.85,21.7,25.6,37.91,3.55,2143,3.37,6.74,4.01,98.33,4.18,0.01,1.11,14.84
Le Verrier,Rampant,13.88,17.07,2.5,23.44,24.39,38.3,3.56,2180,0.86,2.07,1.46,95.81,1.34,0.01,0.89,5.21
Le Verrier,Background,14.03,17.65,4.77,25.61,23.14,37.22,3.55,2232,0.57,1.75,1.17,95.5,0.94,0.01,0.87,1.45
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
